school,rank,score
南通理工学院,143,4.875
内蒙古师范大学,143,4.875
西北农林科技大学,149,4.768
南昌航空大学,150,4.750
闽江学院,151,4.725
广州航海学院,152,4.650
贵州师范大学,152,4.650
陆军装甲兵学院,152,4.650
武汉科技大学,152,4.650
内蒙古大学,156,4.634
深圳北理莫斯科大学,157,4.625
常熟理工学院,158,4.500
济宁学院,158,4.500
济南大学,158,4.500
山东大学（威海）,158,4.500
浙江大学伊利诺伊大学厄巴纳香槟校区联合学院,158,4.500
杭州电子科技大学,163,4.480
宜宾学院,164,4.425
广州南方学院,165,4.400
贵阳人文科技学院,165,4.400
哈尔滨理工大学,165,4.400
南昌理工学院,165,4.400
上海理工大学,165,4.400
石家庄铁道大学,165,4.400
天津工业大学,165,4.400
南通大学,172,4.350
郑州大学,172,4.350
广东交通职业技术学院,174,4.250
三江学院,174,4.250
山东石油化工学院,174,4.250
陕西科技大学,174,4.250
沈阳工学院,174,4.250
枣庄学院,174,4.250
珠海科技学院,174,4.250
大连交通大学,181,4.200
黑河学院,182,4.175
华南师范大学（佛山校区）,182,4.175
南京工业大学,182,4.175
武汉大学,185,4.130
重庆第二师范学院,186,4.100
福州大学,187,4.025
惠州学院,187,4.025
沈阳化工大学,187,4.025
厦门理工学院,190,4.000
上海大学,191,3.975
昆明理工大学津桥学院,192,3.949
厦门大学,193,3.900
北京交通大学,194,3.800
北师香港浸会大学,194,3.800
长江大学,194,3.800
黑龙江大学,194,3.800
集美大学诚毅学院,194,3.800
香港中文大学（深圳）,194,3.800
安徽大学,200,3.775
北京航空航天大学,200,3.775
长春理工大学,200,3.775
浙大城市学院,200,3.775
伊利诺伊大学厄巴纳香槟分校,204,3.750
广东海洋大学,205,3.650
湖北第二师范学院,205,3.650
华东交通大学,205,3.650
盐城师范学院,205,3.650
呼伦贝尔学院,209,3.550
苏州大学应用技术学院,209,3.550
潍坊科技学院,209,3.550
浙江工业大学,209,3.550
长春工业大学,213,3.400
广东轻工职业技术大学,213,3.400
广州工商学院,213,3.400
山西机电职业技术学院,213,3.400
西安科技大学,213,3.400
西南大学,213,3.400
华侨大学,219,3.150
复旦大学,220,3.125
江南大学霞客湾校区,220,3.125
新乡学院,222,2.975
常州工学院,223,2.750
河北大学,223,2.750
湖南工学院,223,2.750
天津理工大学,226,2.600
北京石油化工学院,227,2.375
成都理工大学工程技术学院,227,2.375
重庆邮电大学,227,2.375
广东工商职业技术大学,227,2.375
海军大连舰艇学院,227,2.375
湖南工程学院,227,2.375
武汉华夏理工学院,227,2.375
西南林业大学,227,2.375
西浦创业家学院（太仓）,227,2.375
新疆大学,227,2.375
陆军边海防学院,237,2.359
华北电力大学,238,2.275
吉利学院,238,2.275
江苏科技大学,238,2.275
西安工业大学,238,2.275
德州农工大学,242,2.250
弗吉尼亚理工大学,242,2.250
关东联合大学,242,2.250
麦克马斯特大学,242,2.250
普渡大学,242,2.250
河北建筑工程学院,247,2.225
重庆交通大学,248,2.125
广西师范大学,248,2.125
湖北科技学院,248,2.125
江苏海洋大学,248,2.125
江西工程学院,248,2.125
南京航空航天大学（天目湖校区）,248,2.125
南京邮电大学,248,2.125
沈阳工业大学,248,2.125
沈阳工业大学辽阳分校,248,2.125
石河子大学,248,2.125
台州学院,248,2.125
陆军边海防学院昆明校区,259,1.824
柳州工学院,260,1.725
长春大学,261,1.275
北京交通大学（威海校区）,262,0.950
淮阴工学院,262,0.950
江西冶金职业技术学院,264,0.850
宁波大学,264,0.850
青海大学,264,0.850
山东大学,264,0.850
中原工学院,264,0.850
